MX|02718|DIF|Azcapotzalco
MX|02719|DIF|Azcapotzalco
MX|02720|DIF|Azcapotzalco
MX|02729|DIF|Azcapotzalco
MX|02730|DIF|Azcapotzalco
MX|02739|DIF|Azcapotzalco
MX|02750|DIF|Azcapotzalco
MX|02760|DIF|Azcapotzalco
MX|02770|DIF|Azcapotzalco
MX|02780|DIF|Azcapotzalco
MX|02790|DIF|Azcapotzalco
MX|02800|DIF|Azcapotzalco
MX|02810|DIF|Azcapotzalco
MX|02830|DIF|Azcapotzalco
MX|02840|DIF|Azcapotzalco
MX|02850|DIF|Azcapotzalco
MX|02860|DIF|Azcapotzalco
MX|02870|DIF|Azcapotzalco
MX|02900|DIF|Azcapotzalco
MX|02910|DIF|Azcapotzalco
MX|02920|DIF|Azcapotzalco
MX|02930|DIF|Azcapotzalco
MX|02940|DIF|Azcapotzalco
MX|02950|DIF|Azcapotzalco
MX|02960|DIF|Azcapotzalco
MX|02970|DIF|Azcapotzalco
MX|02980|DIF|Azcapotzalco
MX|02990|DIF|Azcapotzalco
MX|03000|DIF|Benito Juárez
MX|03010|DIF|Benito Juárez
MX|03020|DIF|Benito Juárez
MX|03023|DIF|Benito Juárez
MX|03027|DIF|Benito Juárez
MX|03028|DIF|Benito Juárez
MX|03100|DIF|Benito Juárez
MX|03103|DIF|Benito Juárez
MX|03104|DIF|Benito Juárez
MX|03109|DIF|Benito Juárez
MX|03199|DIF|Benito Juárez
MX|03200|DIF|Benito Juárez
MX|03219|DIF|Benito Juárez
MX|03220|DIF|Benito Juárez
MX|03229|DIF|Benito Juárez
MX|03230|DIF|Benito Juárez
MX|03240|DIF|Benito Juárez
MX|03300|DIF|Benito Juárez
MX|03303|DIF|Benito Juárez
MX|03310|DIF|Benito Juárez
MX|03313|DIF|Benito Juárez
MX|03319|DIF|Benito Juárez
MX|03320|DIF|Benito Juárez
MX|03330|DIF|Benito Juárez
MX|03339|DIF|Benito Juárez
MX|03340|DIF|Benito Juárez
MX|03400|DIF|Benito Juárez
MX|03410|DIF|Benito Juárez
MX|03420|DIF|Benito Juárez
MX|03430|DIF|Benito Juárez
MX|03440|DIF|Benito Juárez
MX|03500|DIF|Benito Juárez
MX|03510|DIF|Benito Juárez
MX|03520|DIF|Benito Juárez
MX|03530|DIF|Benito Juárez
MX|03540|DIF|Benito Juárez
MX|03550|DIF|Benito Juárez
MX|03560|DIF|Benito Juárez
MX|03570|DIF|Benito Juárez
MX|03580|DIF|Benito Juárez
MX|03590|DIF|Benito Juárez
